station_id,line,name,station_nm_eng,station_cd,fr_code,bldn_id,lat,lng,created_at,updated_at,geom
24,1호선,제물포,Jemulpo,1810,158,1810,37.4667690,126.6566660,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.656666 37.466769)
25,1호선,백운,Baegun,1807,153,1807,37.4836640,126.7077040,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.707704 37.483664)
26,1호선,부평,Bupyeong,1806,152,1806,37.4894450,126.7245060,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.724506 37.489445)
27,1호선,부천,Bucheon,1804,148,1804,37.4840500,126.7826860,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.782686 37.48405)
28,1호선,탕정,Tangjeong,1404,P173,1404,36.7886600,127.0848500,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.08485 36.78866)
29,1호선,송내,Songnae,1805,150,1805,37.4876000,126.7536640,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.753664 37.4876)
30,1호선,역곡,Yeokgok,1803,146,1803,37.4851780,126.8115020,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.811502 37.485178)
31,1호선,회기,Hoegi,1015,123,1015,37.5894600,127.0575830,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.057583 37.58946)
32,1호선,당정,Dangjeong,1729,P151,1729,37.3442850,126.9483450,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.948345 37.344285)
33,1호선,온양온천,Onyang oncheon,1407,P176,1407,36.7804830,127.0032490,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.003249 36.780483)
34,1호선,영등포,Yeongdeungpo,1006,139,1006,37.5155040,126.9076280,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.907628 37.515504)
35,1호선,명학,Myeonghak,1707,P148,1707,37.3846530,126.9354330,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.935433 37.384653)
36,1호선,쌍용,Ssangyong,1402,P171,1402,36.7937590,127.1214000,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.1214 36.793759)
37,1호선,동묘앞,Dongmyo,0159,127,159,37.5731970,127.0164800,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.01648 37.573197)
38,1호선,인천,Incheon,1812,161,1812,37.4760790,126.6168010,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.616801 37.476079)
39,1호선,남영,Namyeong,1002,134,1002,37.5410210,126.9713000,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.9713 37.541021)
40,1호선,구로,Guro,1701,141,1701,37.5030390,126.8819660,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.881966 37.503039)
41,1호선,평택,Pyeongtaek,1724,P165,1724,36.9907260,127.0851590,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.085159 36.990726)
42,1호선,성환,Seonghwan,1725,P166,1725,36.9160760,127.1269640,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.126964 36.916076)
43,1호선,창동,Chang-dong,1022,116,1022,37.6530070,127.0478060,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.047806 37.653007)
44,1호선,소사,Sosa,1814,147,1814,37.4827530,126.7954400,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.79544 37.482753)
45,1호선,신창,Sinchang,1408,P177,1408,36.7695020,126.9511080,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.951108 36.769502)
46,1호선,가산디지털단지,Gasan Digital Complex,1702,P142,1702,37.4815810,126.8825810,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.882581 37.481581)
47,1호선,금천구청,Geumcheon-Gu Office,1703,P144,1703,37.4556260,126.8939800,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.89398 37.455626)
48,1호선,석수,Seoksu,1704,P145,1704,37.4350470,126.9022950,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.902295 37.435047)
49,1호선,성균관대,Sungkyunkwan  Univ.,1711,P153,1711,37.3003490,126.9707500,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.97075 37.300349)
50,1호선,수원,Suwon,1713,P155,1713,37.2663480,126.9995610,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.999561 37.266348)
51,1호선,평택지제,PyeongtaekJije,1723,P164,1723,37.0188000,127.0704440,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.070444 37.0188)
52,1호선,화서,Hwaseo,1712,P154,1712,37.2838620,126.9896270,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.989627 37.283862)
53,1호선,신길,Singil,1032,138,1032,37.5168620,126.9178650,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.917865 37.516862)
54,1호선,월계,Wolgye,1020,118,1020,37.6332120,127.0588310,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.058831 37.633212)
55,1호선,광운대,Kwangwoon Univ.,1019,119,1019,37.6236320,127.0618350,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.061835 37.623632)
56,1호선,외대앞,Hankuk Univ. of Foreign Studies,1016,122,1016,37.5960730,127.0635490,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.063549 37.596073)
57,1호선,노량진,Noryangjin,1004,136,1004,37.5141490,126.9427100,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.94271 37.514149)
58,1호선,용산,Yongsan,1003,135,1003,37.5298490,126.9645610,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.964561 37.529849)
59,1호선,봉명,Bongmyeong,1401,P170,1401,36.8012150,127.1357630,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.135763 36.801215)
60,1호선,아산,Asan,1403,P172,1403,36.7920530,127.1043610,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.104361 36.792053)
61,1호선,지행,Jihaeng,1912,104,1912,37.8923340,127.0557160,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.055716 37.892334)
62,1호선,동대문,Dongdaemun,0155,128,155,37.5716870,127.0109300,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.01093 37.571687)
63,1호선,종로5가,Jongno 5(o)-ga,0154,129,154,37.5709260,127.0018490,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.001849 37.570926)
64,1호선,종로3가,Jongno 3(sam)-ga,0153,130,153,37.5704060,126.9918470,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.991847 37.570406)
65,1호선,독산,Doksan,1714,P143,1714,37.4666130,126.8892490,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.889249 37.466613)
66,1호선,군포,Gunpo,1709,P150,1709,37.3535600,126.9484620,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.948462 37.35356)
67,1호선,진위,Jinwi,1720,P161,1720,37.1094470,127.0622780,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.062278 37.109447)
68,1호선,양주,Yangju,1909,107,1909,37.7743810,127.0447080,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.044708 37.774381)
69,1호선,종각,Jonggak,0152,131,152,37.5701610,126.9829230,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.982923 37.570161)
70,1호선,신이문,Sinimun,1017,121,1017,37.6018540,127.0673250,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.067325 37.601854)
71,1호선,시청,City Hall,0151,132,151,37.5657150,126.9770880,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.977088 37.565715)
72,1호선,서울,Seoul Station,0150,133,1001,37.5543370,126.9711340,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.971134 37.554337)
73,1호선,녹양,Nogyang,1908,108,1908,37.7593800,127.0422920,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.042292 37.75938)
74,1호선,의정부,Uijeongbu,1906,110,1906,37.7384150,127.0459580,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.045958 37.738415)
75,1호선,청량리,Cheongnyangni,0158,124,1014,37.5807590,127.0483000,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.0483 37.580759)
76,1호선,회룡,Hoeryong,1905,111,1905,37.7244160,127.0473600,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.04736 37.724416)
77,1호선,석계,Seokgye,1018,120,1018,37.6145320,127.0659340,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.065934 37.614532)
78,1호선,방학,Banghak,1901,115,1901,37.6675030,127.0442730,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.044273 37.667503)
79,1호선,도봉산,Dobongsan,1903,113,1903,37.6895340,127.0460490,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.046049 37.689534)
80,1호선,간석,Ganseok,1816,155,1816,37.4647370,126.6941810,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.694181 37.464737)
81,1호선,배방,Baebang,1405,P174,1405,36.7776290,127.0529910,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.052991 36.777629)
82,1호선,동두천중앙,Dongducheon  jungang,1913,103,1913,37.9018850,127.0564820,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.056482 37.901885)
83,1호선,송탄,Songtan,1721,P162,1721,37.0756960,127.0543010,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.054301 37.075696)
84,1호선,두정,Dujeong,1727,P168,1727,36.8337050,127.1489600,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.14896 36.833705)
85,1호선,소요산,Soyosan,1916,100,1916,37.9481000,127.0610340,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.061034 37.9481)
86,1호선,제기동,Jegi-dong,0157,125,157,37.5781030,127.0348930,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.034893 37.578103)
87,1호선,대방,Daebang,1005,137,1005,37.5133420,126.9263820,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.926382 37.513342)
88,1호선,전곡,Jeongok,1918,100-2,1918,38.0245800,127.0718000,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.0718 38.02458)
89,1호선,온수,Onsu,1821,145,1821,37.4924330,126.8240860,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.824086 37.492433)
90,1호선,부개,Bugae,1815,151,1815,37.4884180,126.7410900,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.74109 37.488418)
91,1호선,오류동,Oryu-dong,1802,144,1802,37.4945260,126.8453650,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.845365 37.494526)
92,1호선,직산,Jiksan,1726,P167,1726,36.8705930,127.1439040,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.143904 36.870593)
93,1호선,관악,Gwanak,1705,P146,1705,37.4192320,126.9087060,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.908706 37.419232)
94,1호선,개봉,Gaebong,1801,143,1801,37.4945940,126.8596800,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.85968 37.494594)
95,1호선,세류,Seryu,1715,P156,1715,37.2450250,127.0132220,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.013222 37.245025)
96,1호선,병점,Byeongjeom,1716,P157,1716,37.2075030,127.0327310,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.032731 37.207503)
97,1호선,오산대,Osan College,1718,P159,1718,37.1689530,127.0631970,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.063197 37.168953)
98,1호선,광명,Gwangmyeong,1750,P144-1,1750,37.4161820,126.8844660,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.884466 37.416182)
99,1호선,도봉,Dobong,1902,114,1902,37.6795630,127.0455950,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.045595 37.679563)
100,1호선,신설동,Sinseol-dong,0156,126,156,37.5760480,127.0246340,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.024634 37.576048)
101,1호선,가능,Ganeung,1907,109,1907,37.7485770,127.0442130,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.044213 37.748577)
102,1호선,청산,Cheongsan,1917,100-1,1917,37.9817200,127.0691200,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.06912 37.98172)
103,2호선,도림천,Dorimcheon,0247,234-1,247,37.5142870,126.8827680,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.882768 37.514287)
104,2호선,신설동,Sinseol-dong,0246,211-4,246,37.5747470,127.0249320,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (127.024932 37.574747)
105,2호선,이대,Ewha Womans Univ.,0241,241,241,37.5567330,126.9460130,2025-10-27 15:32:00.345032,2025-10-27 15:32:00.345032,POINT (126.946013 37.556733)
