section_id,line,up_station_name,up_station_code,down_station_name,down_station_code,section_order,via_coordinates,created_at,updated_at
27,1호선,회기,1015,청량리,0158,27,"[[37.58946, 127.057583], [37.580759, 127.0483]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
28,1호선,서울,0150,시청,0151,28,"[[37.554337, 126.971134], [37.565715, 126.977088]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
29,1호선,시청,0151,종각,0152,29,"[[37.565715, 126.977088], [37.570161, 126.982923]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
30,1호선,종각,0152,종로3가,0153,30,"[[37.570161, 126.982923], [37.570406, 126.991847]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
31,1호선,종로3가,0153,종로5가,0154,31,"[[37.570406, 126.991847], [37.570926, 127.001849]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
32,1호선,종로5가,0154,동대문,0155,32,"[[37.570926, 127.001849], [37.571687, 127.01093]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
33,1호선,동대문,0155,동묘앞,0159,33,"[[37.571687, 127.01093], [37.573197, 127.01648]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
34,1호선,동묘앞,0159,신설동,0156,34,"[[37.573197, 127.01648], [37.576048, 127.024634]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
35,1호선,신설동,0156,제기동,0157,35,"[[37.576048, 127.024634], [37.578103, 127.034893]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
36,1호선,제기동,0157,청량리,0158,36,"[[37.578103, 127.034893], [37.580759, 127.0483]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
37,1호선,서울,0150,남영,1002,37,"[[37.554337, 126.971134], [37.541021, 126.9713]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
38,1호선,남영,1002,용산,1003,38,"[[37.541021, 126.9713], [37.529849, 126.964561]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
39,1호선,용산,1003,노량진,1004,39,"[[37.529849, 126.964561], [37.514149, 126.94271]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
40,1호선,노량진,1004,대방,1005,40,"[[37.514149, 126.94271], [37.513342, 126.926382]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
41,1호선,대방,1005,신길,1032,41,"[[37.513342, 126.926382], [37.516862, 126.917865]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
42,1호선,신길,1032,영등포,1006,42,"[[37.516862, 126.917865], [37.515504, 126.907628]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
43,1호선,영등포,1006,신도림,1007,43,"[[37.515504, 126.907628], [37.508787, 126.891144]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
44,1호선,신도림,1007,구로,1701,44,"[[37.508787, 126.891144], [37.503039, 126.881966]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
45,1호선,구로,1701,가산디지털단지,1702,45,"[[37.503039, 126.881966], [37.481581, 126.882581]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
46,1호선,가산디지털단지,1702,독산,1714,46,"[[37.481581, 126.882581], [37.466613, 126.889249]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
47,1호선,독산,1714,금천구청,1703,47,"[[37.466613, 126.889249], [37.455626, 126.89398]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
48,1호선,금천구청,1703,석수,1704,48,"[[37.455626, 126.89398], [37.435047, 126.902295]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
49,1호선,석수,1704,관악,1705,49,"[[37.435047, 126.902295], [37.419232, 126.908706]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
50,1호선,관악,1705,안양,1706,50,"[[37.419232, 126.908706], [37.401592, 126.922874]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
51,1호선,안양,1706,명학,1707,51,"[[37.401592, 126.922874], [37.384653, 126.935433]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
52,1호선,명학,1707,금정,1708,52,"[[37.384653, 126.935433], [37.372221, 126.943429]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
53,1호선,금정,1708,군포,1709,53,"[[37.372221, 126.943429], [37.35356, 126.948462]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
54,1호선,군포,1709,당정,1729,54,"[[37.35356, 126.948462], [37.344285, 126.948345]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
55,1호선,당정,1729,의왕,1710,55,"[[37.344285, 126.948345], [37.320852, 126.948217]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
56,1호선,의왕,1710,성균관대,1711,56,"[[37.320852, 126.948217], [37.300349, 126.97075]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
57,1호선,성균관대,1711,화서,1712,57,"[[37.300349, 126.97075], [37.283862, 126.989627]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
58,1호선,화서,1712,수원,1713,58,"[[37.283862, 126.989627], [37.266348, 126.999561]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
59,1호선,수원,1713,세류,1715,59,"[[37.266348, 126.999561], [37.245025, 127.013222]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
60,1호선,세류,1715,병점,1716,60,"[[37.245025, 127.013222], [37.207503, 127.032731]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
61,1호선,병점,1716,세마,1717,61,"[[37.207503, 127.032731], [37.187533, 127.04318]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
62,1호선,세마,1717,오산대,1718,62,"[[37.187533, 127.04318], [37.168953, 127.063197]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
63,1호선,오산대,1718,오산,1719,63,"[[37.168953, 127.063197], [37.145885, 127.06672]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
64,1호선,오산,1719,진위,1720,64,"[[37.145885, 127.06672], [37.109447, 127.062278]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
65,1호선,진위,1720,송탄,1721,65,"[[37.109447, 127.062278], [37.075696, 127.054301]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
66,1호선,송탄,1721,서정리,1722,66,"[[37.075696, 127.054301], [37.056496, 127.052819]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
67,1호선,서정리,1722,평택지제,1723,67,"[[37.056496, 127.052819], [37.0188, 127.070444]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
68,1호선,평택지제,1723,평택,1724,68,"[[37.0188, 127.070444], [36.990726, 127.085159]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
69,1호선,평택,1724,성환,1725,69,"[[36.990726, 127.085159], [36.916076, 127.126964]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
70,1호선,성환,1725,직산,1726,70,"[[36.916076, 127.126964], [36.870593, 127.143904]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
71,1호선,직산,1726,두정,1727,71,"[[36.870593, 127.143904], [36.833705, 127.14896]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
72,1호선,두정,1727,천안,1728,72,"[[36.833705, 127.14896], [36.810005, 127.146826]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
73,1호선,구로,1701,구일,1813,73,"[[37.503039, 126.881966], [37.496756, 126.870793]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
74,1호선,구일,1813,개봉,1801,74,"[[37.496756, 126.870793], [37.494594, 126.85968]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
75,1호선,개봉,1801,오류동,1802,75,"[[37.494594, 126.85968], [37.494526, 126.845365]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
76,1호선,오류동,1802,온수,1821,76,"[[37.494526, 126.845365], [37.492433, 126.824086]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
77,1호선,온수,1821,역곡,1803,77,"[[37.492433, 126.824086], [37.485178, 126.811502]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
78,1호선,역곡,1803,소사,1814,78,"[[37.485178, 126.811502], [37.482753, 126.79544]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
79,1호선,소사,1814,부천,1804,79,"[[37.482753, 126.79544], [37.48405, 126.782686]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
80,1호선,부천,1804,중동,1822,80,"[[37.48405, 126.782686], [37.486562, 126.764843]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
81,1호선,중동,1822,송내,1805,81,"[[37.486562, 126.764843], [37.4876, 126.753664]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
82,1호선,송내,1805,부개,1815,82,"[[37.4876, 126.753664], [37.488418, 126.74109]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
83,1호선,부개,1815,부평,1806,83,"[[37.488418, 126.74109], [37.489445, 126.724506]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
84,1호선,부평,1806,백운,1807,84,"[[37.489445, 126.724506], [37.483664, 126.707704]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
85,1호선,백운,1807,동암,1808,85,"[[37.483664, 126.707704], [37.471408, 126.702896]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
86,1호선,동암,1808,간석,1816,86,"[[37.471408, 126.702896], [37.464737, 126.694181]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
87,1호선,간석,1816,주안,1809,87,"[[37.464737, 126.694181], [37.465047, 126.679742]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
88,1호선,주안,1809,도화,1823,88,"[[37.465047, 126.679742], [37.46607, 126.668672]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
89,1호선,도화,1823,제물포,1810,89,"[[37.46607, 126.668672], [37.466769, 126.656666]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
90,1호선,제물포,1810,도원,1817,90,"[[37.466769, 126.656666], [37.468446, 126.642706]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
91,1호선,도원,1817,동인천,1811,91,"[[37.468446, 126.642706], [37.475276, 126.632802]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
92,1호선,동인천,1811,인천,1812,92,"[[37.475276, 126.632802], [37.476079, 126.616801]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
93,1호선,천안,1728,봉명,1401,93,"[[36.810005, 127.146826], [36.801215, 127.135763]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
94,1호선,봉명,1401,쌍용,1402,94,"[[36.801215, 127.135763], [36.793759, 127.1214]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
95,1호선,쌍용,1402,아산,1403,95,"[[36.793759, 127.1214], [36.792053, 127.104361]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
96,1호선,아산,1403,탕정,1404,96,"[[36.792053, 127.104361], [36.78866, 127.08485]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
97,1호선,탕정,1404,배방,1405,97,"[[36.78866, 127.08485], [36.777629, 127.052991]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
98,1호선,배방,1405,온양온천,1407,98,"[[36.777629, 127.052991], [36.780483, 127.003249]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
99,1호선,온양온천,1407,신창,1408,99,"[[36.780483, 127.003249], [36.769502, 126.951108]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
100,1호선,금천구청,1703,광명,1750,100,"[[37.455626, 126.89398], [37.416182, 126.884466]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
101,1호선,병점,1716,서동탄,1749,101,"[[37.207503, 127.032731], [37.195504, 127.051672]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
102,2호선,시청,0201,충정로,0243,1,"[[37.563588, 126.975411], [37.559704, 126.964378]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
103,2호선,충정로,0243,아현,0242,2,"[[37.559704, 126.964378], [37.557345, 126.956141]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
104,2호선,아현,0242,이대,0241,3,"[[37.557345, 126.956141], [37.556733, 126.946013]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
105,2호선,이대,0241,신촌,0240,4,"[[37.556733, 126.946013], [37.555131, 126.936926]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
106,2호선,신촌,0240,홍대입구,0239,5,"[[37.555131, 126.936926], [37.55679, 126.923708]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
107,2호선,홍대입구,0239,합정,0238,6,"[[37.55679, 126.923708], [37.549457, 126.913808]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
108,2호선,합정,0238,당산,0237,7,"[[37.549457, 126.913808], [37.534946, 126.902767]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
109,2호선,당산,0237,영등포구청,0236,8,"[[37.534946, 126.902767], [37.525706, 126.89661]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
110,2호선,영등포구청,0236,문래,0235,9,"[[37.525706, 126.89661], [37.517933, 126.89476]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
111,2호선,문래,0235,신도림,0234,10,"[[37.517933, 126.89476], [37.508961, 126.891084]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
112,2호선,신도림,0234,대림,0233,11,"[[37.508961, 126.891084], [37.493243, 126.894932]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
113,2호선,대림,0233,구로디지털단지,0232,12,"[[37.493243, 126.894932], [37.485266, 126.901401]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
114,2호선,구로디지털단지,0232,신대방,0231,13,"[[37.485266, 126.901401], [37.487462, 126.913149]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
115,2호선,신대방,0231,신림,0230,14,"[[37.487462, 126.913149], [37.484201, 126.929715]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
116,2호선,신림,0230,봉천,0229,15,"[[37.484201, 126.929715], [37.482362, 126.941892]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
117,2호선,봉천,0229,서울대입구,0228,16,"[[37.482362, 126.941892], [37.481247, 126.952739]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
118,2호선,서울대입구,0228,낙성대,0227,17,"[[37.481247, 126.952739], [37.47693, 126.963693]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
119,2호선,낙성대,0227,사당,0226,18,"[[37.47693, 126.963693], [37.476538, 126.981544]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
120,2호선,사당,0226,방배,0225,19,"[[37.476538, 126.981544], [37.481426, 126.997596]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
121,2호선,방배,0225,서초,0224,20,"[[37.481426, 126.997596], [37.491897, 127.007917]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
122,2호선,서초,0224,교대,0223,21,"[[37.491897, 127.007917], [37.493961, 127.014667]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
123,2호선,교대,0223,강남,0222,22,"[[37.493961, 127.014667], [37.49799, 127.027912]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
124,2호선,강남,0222,역삼,0221,23,"[[37.49799, 127.027912], [37.500622, 127.036456]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
125,2호선,역삼,0221,선릉,0220,24,"[[37.500622, 127.036456], [37.504286, 127.048203]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
126,2호선,선릉,0220,삼성,0219,25,"[[37.504286, 127.048203], [37.508844, 127.06316]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
127,2호선,삼성,0219,종합운동장,0218,26,"[[37.508844, 127.06316], [37.511022, 127.073704]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
128,2호선,종합운동장,0218,잠실새내,0217,27,"[[37.511022, 127.073704], [37.511687, 127.086162]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
129,2호선,잠실새내,0217,잠실,0216,28,"[[37.511687, 127.086162], [37.513262, 127.100159]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
130,2호선,잠실,0216,잠실나루,0215,29,"[[37.513262, 127.100159], [37.520733, 127.10379]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
131,2호선,잠실나루,0215,강변,0214,30,"[[37.520733, 127.10379], [37.535095, 127.094681]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
132,2호선,강변,0214,구의,0213,31,"[[37.535095, 127.094681], [37.537077, 127.085916]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
133,2호선,구의,0213,건대입구,0212,32,"[[37.537077, 127.085916], [37.540373, 127.069191]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
134,2호선,건대입구,0212,성수,0211,33,"[[37.540373, 127.069191], [37.544581, 127.055961]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
135,2호선,성수,0211,뚝섬,0210,34,"[[37.544581, 127.055961], [37.547184, 127.047367]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
136,2호선,뚝섬,0210,한양대,0209,35,"[[37.547184, 127.047367], [37.555273, 127.043655]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
137,2호선,한양대,0209,왕십리,0208,36,"[[37.555273, 127.043655], [37.561238, 127.036954]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
138,2호선,왕십리,0208,상왕십리,0207,37,"[[37.561238, 127.036954], [37.564354, 127.029354]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
139,2호선,상왕십리,0207,신당,0206,38,"[[37.564354, 127.029354], [37.56564, 127.019614]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
140,2호선,신당,0206,동대문역사문화공원,0205,39,"[[37.56564, 127.019614], [37.565613, 127.009054]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
141,2호선,동대문역사문화공원,0205,을지로4가,0204,40,"[[37.565613, 127.009054], [37.566595, 126.997817]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
142,2호선,을지로4가,0204,을지로3가,0203,41,"[[37.566595, 126.997817], [37.566306, 126.991696]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
143,2호선,을지로3가,0203,을지로입구,0202,42,"[[37.566306, 126.991696], [37.566014, 126.982618]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
144,2호선,을지로입구,0202,시청,0201,43,"[[37.566014, 126.982618], [37.563588, 126.975411]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
145,2호선,성수,0211,용답,0244,44,"[[37.544581, 127.055961], [37.561904, 127.050899]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
146,2호선,용답,0244,신답,0245,45,"[[37.561904, 127.050899], [37.57004, 127.046481]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
147,2호선,신답,0245,용두,0250,46,"[[37.57004, 127.046481], [37.574028, 127.038091]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
148,2호선,용두,0250,신설동,0246,47,"[[37.574028, 127.038091], [37.574747, 127.024932]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
149,2호선,신도림,0234,도림천,0247,48,"[[37.508961, 126.891084], [37.514287, 126.882768]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
150,2호선,도림천,0247,양천구청,0248,49,"[[37.514287, 126.882768], [37.512398, 126.865819]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
151,2호선,양천구청,0248,신정네거리,0249,50,"[[37.512398, 126.865819], [37.520074, 126.852912]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
152,2호선,신정네거리,0249,까치산,0200,51,"[[37.520074, 126.852912], [37.531768, 126.846683]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
153,3호선,대화,1958,주엽,1957,1,"[[37.676087, 126.747569], [37.670072, 126.761334]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
154,3호선,주엽,1957,정발산,1956,2,"[[37.670072, 126.761334], [37.659477, 126.773359]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
155,3호선,정발산,1956,마두,1955,3,"[[37.659477, 126.773359], [37.652206, 126.77762]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
156,3호선,마두,1955,백석,1954,4,"[[37.652206, 126.77762], [37.643114, 126.78787]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
157,3호선,백석,1954,대곡,1953,5,"[[37.643114, 126.78787], [37.631626, 126.811024]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
158,3호선,대곡,1953,화정,1952,6,"[[37.631626, 126.811024], [37.634592, 126.83265]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
159,3호선,화정,1952,원당,1951,7,"[[37.634592, 126.83265], [37.653324, 126.843041]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
160,3호선,원당,1951,원흥,1948,8,"[[37.653324, 126.843041], [37.650658, 126.872642]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
161,3호선,원흥,1948,삼송,1950,9,"[[37.650658, 126.872642], [37.653083, 126.895558]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
162,3호선,삼송,1950,지축,0309,10,"[[37.653083, 126.895558], [37.648017, 126.91397]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
163,3호선,지축,0309,구파발,0310,11,"[[37.648017, 126.91397], [37.636763, 126.918821]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
164,3호선,구파발,0310,연신내,0311,12,"[[37.636763, 126.918821], [37.619229, 126.921038]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
165,3호선,연신내,0311,불광,0312,13,"[[37.619229, 126.921038], [37.610553, 126.92982]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
166,3호선,불광,0312,녹번,0313,14,"[[37.610553, 126.92982], [37.600927, 126.935756]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
167,3호선,녹번,0313,홍제,0314,15,"[[37.600927, 126.935756], [37.589066, 126.943736]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
168,3호선,홍제,0314,무악재,0315,16,"[[37.589066, 126.943736], [37.582299, 126.950291]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
169,3호선,무악재,0315,독립문,0316,17,"[[37.582299, 126.950291], [37.574571, 126.957748]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
170,3호선,독립문,0316,경복궁,0317,18,"[[37.574571, 126.957748], [37.575762, 126.97353]]",2025-10-27 15:32:51.559014,2025-10-27 15:32:51.559014
